,Candidat,Departement,Parti,Score
894,Robert Hue,la-reunion,Parti communiste,"10,53%"
895,Jean-Marie Le Pen,la-reunion,Front national,"2,91%"
896,Arlette Laguiller,la-reunion,Lutte ouvrière,"2,37%"
897,Dominique Voynet,la-reunion,Les Verts,"2,34%"
898,Philippe de Villiers,la-reunion,"
								MPF								","2,22%"
899,Jacques Cheminade,la-reunion,"
								Nouvelle solidarité								","0,94%"
900,Edouard Balladur,mayotte,UDF,"46,96%"
901,Jacques Chirac,mayotte,rpr,"39,53%"
902,Lionel Jospin,mayotte,Parti socialiste,"5,19%"
903,Dominique Voynet,mayotte,Les Verts,"1,71%"
904,Robert Hue,mayotte,Parti communiste,"1,58%"
905,Jacques Cheminade,mayotte,"
								Parti ouvrier européen								","1,51%"
906,Jean-Marie Le Pen,mayotte,Front national,"1,31%"
907,Philippe de Villiers,mayotte,"
								MPF								","1,19%"
908,Arlette Laguiller,mayotte,Lutte ouvrière,"1,02%"
909,Jacques Chirac,saint-pierre-et-miquelon,rpr,"33,97%"
910,Edouard Balladur,saint-pierre-et-miquelon,UDF,"23,48%"
911,Lionel Jospin,saint-pierre-et-miquelon,Parti socialiste,"17,31%"
912,Jean-Marie Le Pen,saint-pierre-et-miquelon,Front national,"7,51%"
913,Arlette Laguiller,saint-pierre-et-miquelon,Lutte ouvrière,"6,41%"
914,Robert Hue,saint-pierre-et-miquelon,Parti communiste,"4,78%"
915,Dominique Voynet,saint-pierre-et-miquelon,Les Verts,"3,35%"
916,Philippe de Villiers,saint-pierre-et-miquelon,"
								MPF								","2,78%"
917,Jacques Cheminade,saint-pierre-et-miquelon,"
								Parti ouvrier européen								","0,41%"
918,Jacques Chirac,wallis-et-futuna,rpr,"43,53%"
919,Lionel Jospin,wallis-et-futuna,Parti socialiste,"29,88%"
920,Edouard Balladur,wallis-et-futuna,UDF,"21,80%"
921,Jean-Marie Le Pen,wallis-et-futuna,Front national,"1,21%"
922,Arlette Laguiller,wallis-et-futuna,Lutte ouvrière,"0,87%"
923,Jacques Cheminade,wallis-et-futuna,"
								Parti ouvrier européen								","0,87%"
924,Dominique Voynet,wallis-et-futuna,Les Verts,"0,70%"
925,Robert Hue,wallis-et-futuna,Parti communiste,"0,60%"
926,Philippe de Villiers,wallis-et-futuna,"
								MPF								","0,55%"
927,Jacques Chirac,polynesie-francaise,rpr,"51,63%"
928,Edouard Balladur,polynesie-francaise,UDF,"24,92%"
929,Lionel Jospin,polynesie-francaise,Parti socialiste,"12,52%"
930,Jean-Marie Le Pen,polynesie-francaise,Front national,"3,12%"
931,Philippe de Villiers,polynesie-francaise,"
								MPF								","2,68%"
932,Arlette Laguiller,polynesie-francaise,Lutte ouvrière,"1,63%"
933,Dominique Voynet,polynesie-francaise,Les Verts,"1,54%"
934,Robert Hue,polynesie-francaise,Parti communiste,"1,23%"
935,Jacques Cheminade,polynesie-francaise,"
								Parti ouvrier européen								","0,72%"
936,Jacques Chirac,nouvelle-caledonie,rpr,"42,97%"
937,Edouard Balladur,nouvelle-caledonie,UDF,"26,56%"
938,Lionel Jospin,nouvelle-caledonie,Parti socialiste,"15,88%"
939,Jean-Marie Le Pen,nouvelle-caledonie,Front national,"8,17%"
940,Philippe de Villiers,nouvelle-caledonie,"
								MPF								","1,85%"
941,Dominique Voynet,nouvelle-caledonie,Les Verts,"1,72%"
942,Arlette Laguiller,nouvelle-caledonie,Lutte ouvrière,"1,50%"
943,Robert Hue,nouvelle-caledonie,Parti communiste,"0,69%"
944,Jacques Cheminade,nouvelle-caledonie,"
								Parti ouvrier européen								","0,65%"
945,Jacques Chirac,francais-de-l-etranger,rpr,"33,48%"
946,Lionel Jospin,francais-de-l-etranger,Parti socialiste,"26,46%"
947,Edouard Balladur,francais-de-l-etranger,UDF,"23,97%"
948,Jean-Marie Le Pen,francais-de-l-etranger,Front national,"5,17%"
949,Dominique Voynet,francais-de-l-etranger,Les Verts,"4,20%"
950,Arlette Laguiller,francais-de-l-etranger,Lutte ouvrière,"2,37%"
951,Philippe de Villiers,francais-de-l-etranger,"
								MPF								","2,20%"
952,Robert Hue,francais-de-l-etranger,Parti communiste,"1,72%"
953,Jacques Cheminade,francais-de-l-etranger,"
								Nouvelle solidarité								","0,44%"
