,Candidat,Departement,Parti,Score
996,Nicolas Sarkozy,var,UMP,"39,74%"
997,Ségolène Royal,var,PS,"18,71%"
998,François Bayrou,var,UDF,"15,31%"
999,Jean-Marie Le Pen,var,FN,"13,91%"
1000,Olivier Besancenot,var,LCR,"3,21%"
1001,Philippe de Villiers,var,MPF,"2,28%"
1002,Marie-George Buffet,var,PCF,"1,80%"
1003,Dominique Voynet,var,Les Verts,"1,37%"
1004,José Bové,var,DIV,"1,16%"
1005,Frédéric Nihous,var,CPNT,"1,13%"
1006,Arlette Laguiller,var,LO,"1,00%"
1007,Gérard Schivardi,var,PT,"0,38%"
1008,Nicolas Sarkozy,vaucluse,UMP,"32,63%"
1009,Ségolène Royal,vaucluse,PS,"21,45%"
1010,Jean-Marie Le Pen,vaucluse,FN,"16,55%"
1011,François Bayrou,vaucluse,UDF,"15,46%"
1012,Olivier Besancenot,vaucluse,LCR,"3,53%"
1013,Philippe de Villiers,vaucluse,MPF,"2,91%"
1014,Marie-George Buffet,vaucluse,PCF,"1,78%"
1015,José Bové,vaucluse,DIV,"1,65%"
1016,Dominique Voynet,vaucluse,Les Verts,"1,36%"
1017,Frédéric Nihous,vaucluse,CPNT,"1,28%"
1018,Arlette Laguiller,vaucluse,LO,"0,96%"
1019,Gérard Schivardi,vaucluse,PT,"0,44%"
1020,Nicolas Sarkozy,vendee,UMP,"29,72%"
1021,Ségolène Royal,vendee,PS,"21,67%"
1022,François Bayrou,vendee,UDF,"20,77%"
1023,Philippe de Villiers,vendee,MPF,"11,28%"
1024,Jean-Marie Le Pen,vendee,FN,"6,46%"
1025,Olivier Besancenot,vendee,LCR,"3,64%"
1026,Dominique Voynet,vendee,Les Verts,"1,63%"
1027,Frédéric Nihous,vendee,CPNT,"1,62%"
1028,Arlette Laguiller,vendee,LO,"1,14%"
1029,Marie-George Buffet,vendee,PCF,"0,91%"
1030,José Bové,vendee,DIV,"0,88%"
1031,Gérard Schivardi,vendee,PT,"0,27%"
1032,Ségolène Royal,vienne,PS,"29,16%"
1033,Nicolas Sarkozy,vienne,UMP,"27,86%"
1034,François Bayrou,vienne,UDF,"19,01%"
1035,Jean-Marie Le Pen,vienne,FN,"8,35%"
1036,Olivier Besancenot,vienne,LCR,"4,32%"
1037,Philippe de Villiers,vienne,MPF,"3,22%"
1038,Frédéric Nihous,vienne,CPNT,"1,92%"
1039,Dominique Voynet,vienne,Les Verts,"1,60%"
1040,Marie-George Buffet,vienne,PCF,"1,57%"
1041,Arlette Laguiller,vienne,LO,"1,38%"
1042,José Bové,vienne,DIV,"1,29%"
1043,Gérard Schivardi,vienne,PT,"0,34%"
1044,Ségolène Royal,haute-vienne,PS,"31,46%"
1045,Nicolas Sarkozy,haute-vienne,UMP,"25,10%"
1046,François Bayrou,haute-vienne,UDF,"17,76%"
1047,Jean-Marie Le Pen,haute-vienne,FN,"8,56%"
1048,Olivier Besancenot,haute-vienne,LCR,"5,49%"
1049,Marie-George Buffet,haute-vienne,PCF,"3,17%"
1050,Philippe de Villiers,haute-vienne,MPF,"2,31%"
1051,Arlette Laguiller,haute-vienne,LO,"1,48%"
1052,Dominique Voynet,haute-vienne,Les Verts,"1,42%"
1053,Frédéric Nihous,haute-vienne,CPNT,"1,41%"
1054,José Bové,haute-vienne,DIV,"1,35%"
1055,Gérard Schivardi,haute-vienne,PT,"0,49%"
1056,Nicolas Sarkozy,vosges,UMP,"29,05%"
1057,Ségolène Royal,vosges,PS,"22,77%"
1058,François Bayrou,vosges,UDF,"17,72%"
1059,Jean-Marie Le Pen,vosges,FN,"15,66%"
1060,Olivier Besancenot,vosges,LCR,"4,93%"
1061,Philippe de Villiers,vosges,MPF,"2,54%"
1062,Arlette Laguiller,vosges,LO,"1,79%"
1063,Dominique Voynet,vosges,Les Verts,"1,59%"
1064,José Bové,vosges,DIV,"1,48%"
1065,Marie-George Buffet,vosges,PCF,"1,09%"
1066,Frédéric Nihous,vosges,CPNT,"1,02%"
1067,Gérard Schivardi,vosges,PT,"0,37%"
1068,Nicolas Sarkozy,yonne,UMP,"32,28%"
1069,Ségolène Royal,yonne,PS,"20,71%"
1070,François Bayrou,yonne,UDF,"17,47%"
1071,Jean-Marie Le Pen,yonne,FN,"14,23%"
1072,Olivier Besancenot,yonne,LCR,"4,30%"
1073,Philippe de Villiers,yonne,MPF,"3,14%"
1074,Marie-George Buffet,yonne,PCF,"1,71%"
1075,Arlette Laguiller,yonne,LO,"1,53%"
1076,Dominique Voynet,yonne,Les Verts,"1,44%"
1077,Frédéric Nihous,yonne,CPNT,"1,40%"
1078,José Bové,yonne,DIV,"1,37%"
1079,Gérard Schivardi,yonne,PT,"0,41%"
1080,Nicolas Sarkozy,territoire-de-belfort,UMP,"29,99%"
1081,Ségolène Royal,territoire-de-belfort,PS,"25,00%"
1082,François Bayrou,territoire-de-belfort,UDF,"15,27%"
1083,Jean-Marie Le Pen,territoire-de-belfort,FN,"14,80%"
1084,Olivier Besancenot,territoire-de-belfort,LCR,"5,09%"
1085,Philippe de Villiers,territoire-de-belfort,MPF,"2,30%"
1086,Dominique Voynet,territoire-de-belfort,Les Verts,"1,85%"
1087,Arlette Laguiller,territoire-de-belfort,LO,"1,83%"
1088,José Bové,territoire-de-belfort,DIV,"1,47%"
1089,Marie-George Buffet,territoire-de-belfort,PCF,"1,23%"
1090,Frédéric Nihous,territoire-de-belfort,CPNT,"0,82%"
1091,Gérard Schivardi,territoire-de-belfort,PT,"0,35%"
1092,Nicolas Sarkozy,essonne,UMP,"31,51%"
1093,Ségolène Royal,essonne,PS,"27,28%"
1094,François Bayrou,essonne,UDF,"20,47%"
1095,Jean-Marie Le Pen,essonne,FN,"8,65%"
1096,Olivier Besancenot,essonne,LCR,"3,62%"
1097,Marie-George Buffet,essonne,PCF,"1,98%"
1098,Philippe de Villiers,essonne,MPF,"1,84%"
1099,Dominique Voynet,essonne,Les Verts,"1,79%"
1100,Arlette Laguiller,essonne,LO,"1,12%"
1101,José Bové,essonne,DIV,"1,03%"
1102,Frédéric Nihous,essonne,CPNT,"0,47%"
1103,Gérard Schivardi,essonne,PT,"0,24%"
1104,Nicolas Sarkozy,hauts-de-seine,UMP,"38,27%"
1105,Ségolène Royal,hauts-de-seine,PS,"25,97%"
1106,François Bayrou,hauts-de-seine,UDF,"21,30%"
1107,Jean-Marie Le Pen,hauts-de-seine,FN,"5,53%"
1108,Olivier Besancenot,hauts-de-seine,LCR,"2,52%"
1109,Marie-George Buffet,hauts-de-seine,PCF,"1,73%"
1110,Dominique Voynet,hauts-de-seine,Les Verts,"1,45%"
1111,Philippe de Villiers,hauts-de-seine,MPF,"1,26%"
1112,José Bové,hauts-de-seine,DIV,"0,84%"
1113,Arlette Laguiller,hauts-de-seine,LO,"0,69%"
1114,Frédéric Nihous,hauts-de-seine,CPNT,"0,24%"
1115,Gérard Schivardi,hauts-de-seine,PT,"0,18%"
1116,Ségolène Royal,seine-saint-denis,PS,"34,13%"
1117,Nicolas Sarkozy,seine-saint-denis,UMP,"26,85%"
1118,François Bayrou,seine-saint-denis,UDF,"16,72%"
1119,Jean-Marie Le Pen,seine-saint-denis,FN,"9,04%"
1120,Olivier Besancenot,seine-saint-denis,LCR,"4,18%"
1121,Marie-George Buffet,seine-saint-denis,PCF,"3,54%"
1122,Dominique Voynet,seine-saint-denis,Les Verts,"1,35%"
1123,Philippe de Villiers,seine-saint-denis,MPF,"1,34%"
1124,José Bové,seine-saint-denis,DIV,"1,23%"
1125,Arlette Laguiller,seine-saint-denis,LO,"1,12%"
1126,Frédéric Nihous,seine-saint-denis,CPNT,"0,25%"
1127,Gérard Schivardi,seine-saint-denis,PT,"0,25%"
1128,Nicolas Sarkozy,val-de-marne,UMP,"31,82%"
1129,Ségolène Royal,val-de-marne,PS,"29,00%"
1130,François Bayrou,val-de-marne,UDF,"19,76%"
1131,Jean-Marie Le Pen,val-de-marne,FN,"7,31%"
1132,Olivier Besancenot,val-de-marne,LCR,"3,51%"
1133,Marie-George Buffet,val-de-marne,PCF,"3,05%"
1134,Dominique Voynet,val-de-marne,Les Verts,"1,61%"
1135,Philippe de Villiers,val-de-marne,MPF,"1,42%"
1136,José Bové,val-de-marne,DIV,"1,07%"
1137,Arlette Laguiller,val-de-marne,LO,"0,93%"
1138,Frédéric Nihous,val-de-marne,CPNT,"0,28%"
1139,Gérard Schivardi,val-de-marne,PT,"0,25%"
1140,Nicolas Sarkozy,val-d-oise,UMP,"32,37%"
1141,Ségolène Royal,val-d-oise,PS,"27,76%"
1142,François Bayrou,val-d-oise,UDF,"19,00%"
1143,Jean-Marie Le Pen,val-d-oise,FN,"9,20%"
1144,Olivier Besancenot,val-d-oise,LCR,"3,72%"
1145,Marie-George Buffet,val-d-oise,PCF,"1,84%"
1146,Philippe de Villiers,val-d-oise,MPF,"1,72%"
1147,Dominique Voynet,val-d-oise,Les Verts,"1,57%"
1148,Arlette Laguiller,val-d-oise,LO,"1,14%"
1149,José Bové,val-d-oise,DIV,"1,03%"
1150,Frédéric Nihous,val-d-oise,CPNT,"0,41%"
1151,Gérard Schivardi,val-d-oise,PT,"0,24%"
1152,Nicolas Sarkozy,guadeloupe,UMP,"42,63%"
1153,Ségolène Royal,guadeloupe,PS,"38,28%"
1154,François Bayrou,guadeloupe,UDF,"8,51%"
1155,Jean-Marie Le Pen,guadeloupe,FN,"3,18%"
1156,Olivier Besancenot,guadeloupe,LCR,"2,55%"
1157,Dominique Voynet,guadeloupe,Les Verts,"1,21%"
1158,Arlette Laguiller,guadeloupe,LO,"1,09%"
1159,José Bové,guadeloupe,DIV,"0,93%"
1160,Marie-George Buffet,guadeloupe,PCF,"0,75%"
1161,Philippe de Villiers,guadeloupe,MPF,"0,47%"
1162,Frédéric Nihous,guadeloupe,CPNT,"0,23%"
1163,Gérard Schivardi,guadeloupe,PT,"0,18%"
1164,Ségolène Royal,martinique,PS,"48,48%"
1165,Nicolas Sarkozy,martinique,UMP,"33,77%"
1166,François Bayrou,martinique,UDF,"8,61%"
1167,Olivier Besancenot,martinique,LCR,"2,55%"
1168,Jean-Marie Le Pen,martinique,FN,"2,11%"
1169,Arlette Laguiller,martinique,LO,"1,29%"
1170,Dominique Voynet,martinique,Les Verts,"0,93%"
1171,José Bové,martinique,DIV,"0,87%"
1172,Marie-George Buffet,martinique,PCF,"0,57%"
1173,Philippe de Villiers,martinique,MPF,"0,49%"
1174,Frédéric Nihous,martinique,CPNT,"0,21%"
1175,Gérard Schivardi,martinique,PT,"0,14%"
1176,Nicolas Sarkozy,guyane,UMP,"41,35%"
1177,Ségolène Royal,guyane,PS,"32,53%"
1178,François Bayrou,guyane,UDF,"12,51%"
1179,Jean-Marie Le Pen,guyane,FN,"5,51%"
1180,Olivier Besancenot,guyane,LCR,"2,57%"
1181,Dominique Voynet,guyane,Les Verts,"1,50%"
1182,José Bové,guyane,DIV,"1,43%"
1183,Arlette Laguiller,guyane,LO,"0,98%"
1184,Marie-George Buffet,guyane,PCF,"0,62%"
1185,Philippe de Villiers,guyane,MPF,"0,54%"
1186,Frédéric Nihous,guyane,CPNT,"0,29%"
1187,Gérard Schivardi,guyane,PT,"0,17%"
1188,Ségolène Royal,la-reunion,PS,"46,22%"
1189,Nicolas Sarkozy,la-reunion,UMP,"25,09%"
1190,François Bayrou,la-reunion,UDF,"13,29%"
1191,Jean-Marie Le Pen,la-reunion,FN,"4,88%"
1192,Marie-George Buffet,la-reunion,PCF,"2,97%"
1193,Olivier Besancenot,la-reunion,LCR,"2,63%"
1194,José Bové,la-reunion,DIV,"1,35%"
1195,Dominique Voynet,la-reunion,Les Verts,"1,29%"
1196,Arlette Laguiller,la-reunion,LO,"1,20%"
1197,Philippe de Villiers,la-reunion,MPF,"0,59%"
1198,Frédéric Nihous,la-reunion,CPNT,"0,30%"
1199,Gérard Schivardi,la-reunion,PT,"0,19%"
1200,Nicolas Sarkozy,mayotte,UMP,"30,48%"
1201,Ségolène Royal,mayotte,PS,"27,94%"
1202,François Bayrou,mayotte,UDF,"25,67%"
1203,Jean-Marie Le Pen,mayotte,FN,"4,22%"
1204,Olivier Besancenot,mayotte,LCR,"3,12%"
1205,Arlette Laguiller,mayotte,LO,"1,87%"
1206,José Bové,mayotte,DIV,"1,73%"
1207,Dominique Voynet,mayotte,Les Verts,"1,50%"
1208,Marie-George Buffet,mayotte,PCF,"1,43%"
1209,Frédéric Nihous,mayotte,CPNT,"0,79%"
1210,Philippe de Villiers,mayotte,MPF,"0,72%"
1211,Gérard Schivardi,mayotte,PT,"0,54%"
1212,Ségolène Royal,saint-pierre-et-miquelon,PS,"26,64%"
1213,Nicolas Sarkozy,saint-pierre-et-miquelon,UMP,"24,93%"
1214,François Bayrou,saint-pierre-et-miquelon,UDF,"23,03%"
1215,Jean-Marie Le Pen,saint-pierre-et-miquelon,FN,"6,70%"
1216,Olivier Besancenot,saint-pierre-et-miquelon,LCR,"6,51%"
1217,José Bové,saint-pierre-et-miquelon,DIV,"5,13%"
1218,Dominique Voynet,saint-pierre-et-miquelon,Les Verts,"2,87%"
1219,Frédéric Nihous,saint-pierre-et-miquelon,CPNT,"1,64%"
1220,Arlette Laguiller,saint-pierre-et-miquelon,LO,"1,46%"
1221,Philippe de Villiers,saint-pierre-et-miquelon,MPF,"0,62%"
1222,Marie-George Buffet,saint-pierre-et-miquelon,PCF,"0,29%"
1223,Gérard Schivardi,saint-pierre-et-miquelon,PT,"0,18%"
1224,Nicolas Sarkozy,wallis-et-futuna,UMP,"43,55%"
1225,Ségolène Royal,wallis-et-futuna,PS,"39,46%"
1226,François Bayrou,wallis-et-futuna,UDF,"11,20%"
1227,Jean-Marie Le Pen,wallis-et-futuna,FN,"1,20%"
1228,Olivier Besancenot,wallis-et-futuna,LCR,"0,99%"
1229,Arlette Laguiller,wallis-et-futuna,LO,"0,88%"
1230,Dominique Voynet,wallis-et-futuna,Les Verts,"0,84%"
1231,José Bové,wallis-et-futuna,DIV,"0,57%"
1232,Marie-George Buffet,wallis-et-futuna,PCF,"0,56%"
1233,Frédéric Nihous,wallis-et-futuna,CPNT,"0,35%"
1234,Gérard Schivardi,wallis-et-futuna,PT,"0,21%"
1235,Philippe de Villiers,wallis-et-futuna,MPF,"0,20%"
1236,Nicolas Sarkozy,polynesie-francaise,UMP,"45,23%"
1237,Ségolène Royal,polynesie-francaise,PS,"41,68%"
1238,François Bayrou,polynesie-francaise,UDF,"7,15%"
1239,Jean-Marie Le Pen,polynesie-francaise,FN,"1,90%"
1240,Dominique Voynet,polynesie-francaise,Les Verts,"1,33%"
1241,Olivier Besancenot,polynesie-francaise,LCR,"0,80%"
1242,José Bové,polynesie-francaise,DIV,"0,63%"
1243,Arlette Laguiller,polynesie-francaise,LO,"0,36%"
1244,Philippe de Villiers,polynesie-francaise,MPF,"0,32%"
1245,Marie-George Buffet,polynesie-francaise,PCF,"0,24%"
1246,Frédéric Nihous,polynesie-francaise,CPNT,"0,20%"
1247,Gérard Schivardi,polynesie-francaise,PT,"0,16%"
1248,Nicolas Sarkozy,nouvelle-caledonie,UMP,"49,74%"
1249,Ségolène Royal,nouvelle-caledonie,PS,"23,73%"
1250,François Bayrou,nouvelle-caledonie,UDF,"8,85%"
1251,José Bové,nouvelle-caledonie,DIV,"5,88%"
1252,Jean-Marie Le Pen,nouvelle-caledonie,FN,"5,67%"
1253,Dominique Voynet,nouvelle-caledonie,Les Verts,"1,87%"
1254,Olivier Besancenot,nouvelle-caledonie,LCR,"1,74%"
1255,Philippe de Villiers,nouvelle-caledonie,MPF,"0,79%"
1256,Arlette Laguiller,nouvelle-caledonie,LO,"0,78%"
1257,Marie-George Buffet,nouvelle-caledonie,PCF,"0,42%"
1258,Frédéric Nihous,nouvelle-caledonie,CPNT,"0,36%"
1259,Gérard Schivardi,nouvelle-caledonie,PT,"0,17%"
1260,Nicolas Sarkozy,francais-de-l-etranger,UMP,"38,49%"
1261,Ségolène Royal,francais-de-l-etranger,PS,"29,92%"
1262,François Bayrou,francais-de-l-etranger,UDF,"21,54%"
1263,Jean-Marie Le Pen,francais-de-l-etranger,FN,"3,27%"
1264,Dominique Voynet,francais-de-l-etranger,Les Verts,"1,98%"
1265,Olivier Besancenot,francais-de-l-etranger,LCR,"1,33%"
1266,José Bové,francais-de-l-etranger,DIV,"1,20%"
1267,Philippe de Villiers,francais-de-l-etranger,MPF,"0,89%"
1268,Marie-George Buffet,francais-de-l-etranger,PCF,"0,56%"
1269,Arlette Laguiller,francais-de-l-etranger,LO,"0,49%"
1270,Frédéric Nihous,francais-de-l-etranger,CPNT,"0,21%"
1271,Gérard Schivardi,francais-de-l-etranger,PT,"0,12%"
