,Candidat,Departement,Parti,Score
915,Pierre Boussel,wallis-et-futuna,"
								Mouvement pour un parti des travailleurs								","0,12%"
916,Pierre Juquin,wallis-et-futuna,"
								Communiste rénovateur								","0,07%"
917,André Lajoinie,wallis-et-futuna,PCF,"0,03%"
918,François Mitterrand,polynesie-francaise,PS,"43,87%"
919,Jacques Chirac,polynesie-francaise,RPR,"39,91%"
920,Raymond Barre,polynesie-francaise,UDF,"10,09%"
921,Jean-Marie Le Pen,polynesie-francaise,FN,"2,91%"
922,Antoine Waechter,polynesie-francaise,Les Verts,"0,93%"
923,André Lajoinie,polynesie-francaise,PCF,"0,86%"
924,Arlette Laguiller,polynesie-francaise,LO,"0,66%"
925,Pierre Juquin,polynesie-francaise,"
								Communiste rénovateur								","0,51%"
926,Pierre Boussel,polynesie-francaise,"
								Mouvement pour un parti des travailleurs								","0,24%"
927,Jacques Chirac,nouvelle-caledonie,RPR,"74,63%"
928,Jean-Marie Le Pen,nouvelle-caledonie,FN,"12,39%"
929,Raymond Barre,nouvelle-caledonie,UDF,"6,15%"
930,François Mitterrand,nouvelle-caledonie,PS,"4,98%"
931,Antoine Waechter,nouvelle-caledonie,Les Verts,"0,60%"
932,Arlette Laguiller,nouvelle-caledonie,LO,"0,58%"
933,André Lajoinie,nouvelle-caledonie,PCF,"0,33%"
934,Pierre Juquin,nouvelle-caledonie,"
								Communiste rénovateur								","0,18%"
935,Pierre Boussel,nouvelle-caledonie,"
								Mouvement pour un parti des travailleurs								","0,16%"
936,Jacques Chirac,francais-de-l-etranger,RPR,"34,98%"
937,François Mitterrand,francais-de-l-etranger,PS,"28,46%"
938,Raymond Barre,francais-de-l-etranger,UDF,"19,61%"
939,Jean-Marie Le Pen,francais-de-l-etranger,FN,"9,56%"
940,Antoine Waechter,francais-de-l-etranger,Les Verts,"3,86%"
941,Pierre Juquin,francais-de-l-etranger,"
								Communiste rénovateur								","1,61%"
942,André Lajoinie,francais-de-l-etranger,PCF,"0,89%"
943,Arlette Laguiller,francais-de-l-etranger,LO,"0,85%"
944,Pierre Boussel,francais-de-l-etranger,"
								Mouvement pour un parti des travailleurs								","0,17%"
